concept_code,gender,map_priority
254837009,,3
307576001,,1
372137005,,10
448668007,,1
363490009,,3
363492001,,1
188188009,Male,1
188188009,Female,2
428281000,,1
443679004,,1
363484005,,1
231829006,,2
372094002,,2
363502009,,2
277156006,,2
313250007,,2
188366002,,2
313249007,,2
449487002,,1
187952001,,1
187956003,,1
255071008,,2
449077005,,1
449627008,,1
310599006,,2
443488001,,2
93676009,,3
187967002,,1
448710000,,3
449377002,,1
1090871000000102,,1
187917009,,1
363438000,,1
1090821000000101,,1
187918004,,1
188361007,,1
363495004,,10
447781009,,1
449224009,,1
276797002,,11
277782009,,1
448314007,,1
93913006,,10
187828007,,2
187978005,,1
314973003,,1
314974009,,11
449100005,,1
449308006,,1
187916000,,1
187950009,,1
254474002,,1
277530005,,1
363370001,,1
447705002,,1
447783007,,2
448377009,,1
449067008,,1
449206007,,1
449267001,,1
449628003,,1
713293002,,1
93684008,,2
93968005,,2
