BOROUGH,CODE,GP_PRACTICE,LIST_SIZE,EXTRACT_DATE
Barnet,E83003,OAKLEIGH ROAD HEALTH CENTRE,10566,02/06/2026
Barnet,E83005,Lichfield Grove Surgery,5827,02/06/2026
Barnet,E83006,GREENFIELD MEDICAL CENTRE,6709,02/06/2026
Barnet,E83007,Squires Lane Medical Practice,4803,02/06/2026
Barnet,E83008,HEATHFIELDE MEDICAL CENTRE,8044,02/06/2026
Barnet,E83009,PHGH DOCTORS,12750,02/06/2026
Barnet,E83010,The Speedwell Practice,12860,02/06/2026
Barnet,E83011,THE EVERGLADE MEDICAL PRACTICE,11211,02/06/2026
Barnet,E83012,THE OLD COURT HOUSE SURGERY,10287,02/06/2026
Barnet,E83013,Cornwall House Surgery,5354,02/06/2026
Barnet,E83016,MILLWAY MEDICAL PRACTICE,25277,02/06/2026
Barnet,E83017,Longrove Surgery,17211,02/06/2026
Barnet,E83018,WATLING MEDICAL CENTRE,17937,02/06/2026
Barnet,E83020,St. George's Medical Centre,11599,02/06/2026
Barnet,E83021,Torrington Park Group Practice,12466,02/06/2026
Barnet,E83024,ST ANDREWS MEDICAL PRACTICE.,11197,02/06/2026
Barnet,E83025,Pennine Drive Practice,7763,02/06/2026
Barnet,E83026,Supreme Medical Centre,3592,02/06/2026
Barnet,E83027,The Practice @ 188,10696,02/06/2026
Barnet,E83028,Parkview Surgery,6017,02/06/2026
Barnet,E83030,The Penshurst Gardens Surgery,7553,02/06/2026
Barnet,E83031,THE VILLAGE SURGERY,6284,02/06/2026
Barnet,E83032,Oak Lodge Medical Centre,16812,02/06/2026
Barnet,E83034,Colney Hatch Lane Surgery,5271,02/06/2026
Barnet,E83035,WENTWORTH MEDICAL PRACTICE.,24627,02/06/2026
Barnet,E83038,JAI MEDICAL CENTRE,8912,02/06/2026
Barnet,E83039,Ravenscroft Medical Centre,5275,02/06/2026
Barnet,E83041,DR. IJEOMA UKACHUKWU,4558,02/06/2026
Barnet,E83044,Addington Medical Centre,9838,02/06/2026
Barnet,E83045,FRIERN BARNET MEDICAL CENTRE,9608,02/06/2026
Barnet,E83046,Mulberry Medical Practice -Sefton Avenue,7897,02/06/2026
Barnet,E83050,EAST FINCHLEY MEDICAL CENTRE,7213,02/06/2026
Barnet,E83053,LANE END MEDICAL GROUP,14550,02/06/2026
