CODE,GP_PRACTICE,LIST_SIZE,EXTRACT_DATE
F85063,THE MUSWELL HILL PRACTICE,14569,01-Apr-21
F85014,Highgate Group Practice,16423,01-Apr-21
F83671,THE BEAUMONT PRACTICE,3156,01-Apr-21
E83613,EAST BARNET HEALTH CENTRE,11380,01-Apr-21
F85066,Bounds Green Group Practice,18208,01-Apr-21
F83658,BELSIZE PRIORY MEDICAL PRACTICE,4478,01-Apr-21
E83050,EAST FINCHLEY MEDICAL CENTRE,7906,01-Apr-21
F85069,The Crouch Hall Road Surgery,8411,01-Apr-21
E83622,Temple Fortune Medical Group,7987,01-Apr-21
E83039,Ravenscroft Medical Centre,5588,01-Apr-21
E83016,MILLWAY MEDICAL PRACTICE,18714,01-Apr-21
E83638,The Mountfield Surgery,5002,01-Apr-21
E83032,Oak Lodge Medical Centre,17946,01-Apr-21
E83005,Lichfield Grove Surgery,6342,01-Apr-21
E83011,THE EVERGLADE MEDICAL PRACTICE,9193,01-Apr-21
E83030,The Penshurst Gardens Surgery,6829,01-Apr-21
E83035,WENTWORTH MEDICAL PRACTICE.,26342,01-Apr-21
E83034,Colney Hatch Lane Surgery,5199,01-Apr-21
E83028,Parkview Surgery,6639,01-Apr-21
E83649,THE HODFORD ROAD SURGERY,4023,01-Apr-21
E83639,Rosemary Surgery,6200,01-Apr-21
E83026,Supreme Medical Centre,4396,01-Apr-21
F85072,GROVELANDS MEDICAL CENTRE,10716,01-Apr-21
F85002,Medicus Health Partners,90758,01-Apr-21
F83023,JAMES WIGG GROUP PRACTICE,21863,01-Apr-21
F83004,Virtually @ Archway Medical Centre,15061,01-Apr-21
F85625,BINCOTE SURGERY,6619,01-Apr-21
F85701,GILLAN HOUSE SURGERY,11526,01-Apr-21
F83059,Brondesbury Medical Centre,19669,01-Apr-21
Y03135,Bridge House Healthcare Centre,9635,01-Apr-21
F83019,The Abbey Medical Centre,12090,01-Apr-21
Y03035,QUEENSWOOD MEDICAL PRACTICE,22384,01-Apr-21
F83017,HAMPSTEAD GROUP PRACTICE,17543,01-Apr-21
F83665,Swiss Cottage Surgery,15068,01-Apr-21
F85034,Arcadian Gardens Surgery,5312,01-Apr-21
F83003,Park End Surgery,7209,01-Apr-21
