SNOMED_CODE,SNOMED_TERM,CATEGORY,SUBCATEGORY,GRANULAR,ONS_BRIDGE_CODE,ONS_BRIDGE_LABEL,BK_ETHNICITY_CODE,ETHNICITY_DESC
88961000000104,Commonwealth of (Russian),White,White: Other White,Russian,C,Any other White background,C,WHITE: Any other White background
286009,Czech,White,White: Other White,Czech,C,Any other White background,C,WHITE: Any other White background
29343004,Bulgarian,White,White: Other White,Bulgarian,C,Any other White background,C,WHITE: Any other White background
92411000000108,Other White,White,White: Other White,White - Other,C,Any other White background,C,WHITE: Any other White background
92401000000106,Irish,White,White: Irish,Irish,B,Irish,B,WHITE: Irish
315236000,White British,White,White: British,British,A,British,A,"WHITE: British (English, Scottish, Welsh)"
315237009,White Irish,White,White: Irish,Irish,B,Irish,B,WHITE: Irish
315283003,Irish traveller,White,White: Traveller,Irish Traveller,T,Traveller,C,WHITE: Any other White background
36329002,Slovak,White,White: Other White,Slovak,C,Any other White background,C,WHITE: Any other White background
401213008,White Scottish,White,White: British,Scottish,A,British,A,"WHITE: British (English, Scottish, Welsh)"
401214002,Other white British ethnic grp,White,White: British,British - Other,A,British,A,"WHITE: British (English, Scottish, Welsh)"
88981000000108,Serbian - ethn cat 2001 census,White,White: Other White,Serbian,C,Any other White background,C,WHITE: Any other White background
88971000000106,Albanian Serbian,White,White: Other White,Albanian/Serbian,C,Any other White background,C,WHITE: Any other White background
275602002,Turkish Cypriot (NMO),White,White: Other White,Turkish Cypriot,S,Any other ethnic group,S,OTHER: Any other ethnic group
88951000000102,Baltic Estonian/Latvian/Lithuanian - ethn categ 2001 census,White,White: Other White,Baltic,C,Any other White background,C,WHITE: Any other White background
88941000000100,Polish,White,White: Other White,Polish,C,Any other White background,C,WHITE: Any other White background
88931000000109,Gypsy/Romany,White,White: Traveller,Gypsy,T,Traveller,C,WHITE: Any other White background
88921000000107,Traveller,White,White: Traveller,Traveller,T,Traveller,C,WHITE: Any other White background
88911000000101,Irish Traveller,White,White: Traveller,Irish Traveller,T,Traveller,C,WHITE: Any other White background
40182006,Traveller - gypsy,White,White: Traveller,Gypsy Traveller,S,Any other ethnic group,S,OTHER: Any other ethnic group
494161000000100,White Irish - ethnic category 2001 census,White,White: Irish,Irish,B,Irish,B,WHITE: Irish
494131000000105,White British - ethnic category 2001 census,White,White: British,British,A,British,A,"WHITE: British (English, Scottish, Welsh)"
445343003,Romanian,White,White: Other White,Romanian,C,Any other White background,C,WHITE: Any other White background
718958002,Roma ethnic group,White,White: Roma,Roma,T,Traveller,C,WHITE: Any other White background
718959005,Czech Roma,White,White: Roma,Czech Roma,C,Any other White background,C,WHITE: Any other White background
110761000000106,English,White,White: British,English,A,British,A,"WHITE: British (English, Scottish, Welsh)"
976671000000104,White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census,White,White: Traveller,Gypsy or Irish Traveller,T,Traveller,C,WHITE: Any other White background
977351000000100,White - Northern Ireland ethnic category 2011 census,White,White: British,Northern Irish,A,British,A,"WHITE: British (English, Scottish, Welsh)"
977371000000109,Irish Traveller - Northern Ireland ethnic category 2011 census,White,White: Traveller,Irish Traveller,T,Traveller,C,WHITE: Any other White background
977911000000103,White: Scottish - Scotland ethnic category 2011 census,White,White: British,Scottish,A,British,A,"WHITE: British (English, Scottish, Welsh)"
977931000000106,White: other British - Scotland ethnic category 2011 census,White,White: British,British - Other,A,British,A,"WHITE: British (English, Scottish, Welsh)"
977951000000104,White: Irish - Scotland ethnic category 2011 census,White,White: Irish,Irish,B,Irish,B,WHITE: Irish
977971000000108,White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census,White,White: Traveller,Gypsy or Irish Traveller,T,Traveller,C,WHITE: Any other White background
978011000000101,White: Polish - Scotland ethnic category 2011 census,White,White: Other White,Polish,C,Any other White background,C,WHITE: Any other White background
