age_category,team_type_code,primary_referral_reason,currency_code
Adult,12,001,CAO02Z
Adult,45,001,CAO03Z
Adult,12,002,CAO02Z
Adult,45,002,CAO03Z
Adult,12,003,CAO02Z
Adult,45,003,CAO03Z
Adult,12,004,CAO02Z
Adult,45,004,CAO03Z
Adult,12,005,CAL09Z
Adult,45,005,CAL10Z
Adult,12,006,CAO02Z
Adult,45,006,CAO03Z
Adult,12,007,CAL09Z
Adult,45,007,CAL10Z
Adult,12,008,CAL09Z
Adult,45,008,CAL10Z
Adult,12,009,CAL09Z
Adult,45,009,CAL10Z
Adult,12,010,CAL09Z
Adult,45,010,CAL10Z
Adult,12,011,CAL09Z
Adult,45,011,CAL10Z
Adult,12,012,CAL09Z
Adult,45,012,CAL10Z
Adult,12,013,CAO02Z
Adult,45,013,CAO03Z
Adult,12,014,CAL09Z
Adult,45,014,CAL10Z
Adult,12,015,CAL09Z
Adult,45,015,CAL10Z
Adult,12,017,CAL09Z
Adult,45,017,CAL10Z
Adult,12,018,CAL09Z
Adult,45,018,CAL10Z
Adult,12,019,CAO02Z
Adult,45,019,CAO03Z
Adult,12,020,CAO02Z
Adult,45,020,CAO03Z
Adult,12,021,CAL09Z
Adult,45,021,CAL10Z
Adult,12,022,CAO02Z
Adult,45,022,CAO03Z
Adult,12,023,CAO02Z
Adult,45,023,CAO03Z
Adult,12,024,CAO02Z
Adult,45,024,CAO03Z
Adult,12,025,CAO02Z
Adult,45,025,CAO03Z
Adult,12,026,CAE08Z
Adult,45,026,CAE09Z
Adult,12,027,CAL09Z
Adult,45,027,CAL10Z
Adult,12,028,CAO02Z
Adult,45,028,CAO03Z
Adult,12,029,CAO02Z
Adult,45,029,CAO03Z
Adult,12,030,CAF05Z
Adult,45,030,CAF06Z
Adult,12,031,CAO02Z
Adult,45,031,CAO03Z
Adult,12,032,CAO02Z
Adult,45,032,CAO03Z
Adult,12,033,CAS07Z
Adult,45,033,CAS08Z
Adult,12,034,CAO02Z
Adult,45,034,CAO03Z
Adult,12,035,CAS07Z
Adult,45,035,CAS08Z
Adult,12,036,CAO02Z
Adult,45,036,CAO03Z
Adult,12,037,CAL09Z
Adult,45,037,CAL10Z
Adult,12,038,CAL09Z
Adult,45,038,CAL10Z
Adult,12,039,CAO02Z
Adult,45,039,CAO03Z
Adult,12,040,CAO02Z
Adult,45,040,CAO03Z
Adult,12,041,CAL09Z
Adult,45,041,CAL10Z
Adult,12,042,CAT05Z
Adult,45,042,CAT06Z
Adult,12,043,CAS07Z
Adult,45,043,CAS08Z
Adult,12,044,CAL09Z
Adult,45,044,CAL10Z
Adult,12,045,CAO02Z
Adult,45,045,CAO03Z
Adult,12,046,CAT05Z
Adult,45,046,CAT06Z
Adult,12,047,CAS07Z
Adult,45,047,CAS08Z
Adult,12,048,CAO02Z
Adult,45,048,CAO03Z
Adult,12,049,CAO02Z
Adult,45,049,CAO03Z
Adult,12,050,CAL09Z
Adult,45,050,CAL10Z
Adult,12,051,CAO02Z
Adult,45,051,CAO03Z
Adult,12,052,CAO02Z
Adult,45,052,CAO03Z
Adult,12,053,CAL09Z
Adult,45,053,CAL10Z
Adult,12,054,CAF05Z
Adult,45,054,CAF06Z
Adult,12,055,CAO02Z
Adult,45,055,CAO03Z
Adult,12,056,CAS07Z
Adult,45,056,CAS08Z
Adult,12,057,CAL09Z
Adult,45,057,CAL10Z
Adult,12,058,CAO02Z
Adult,45,058,CAO03Z
Adult,12,059,CAS07Z
Adult,45,059,CAS08Z
Adult,12,060,CAO02Z
Adult,45,060,CAO03Z
Adult,12,061,CAO02Z
Adult,45,061,CAO03Z
Adult,12,062,CAT05Z
Adult,45,062,CAT06Z
Adult,12,063,CAL09Z
Adult,45,063,CAL10Z
Adult,12,064,CAL09Z
Adult,45,064,CAL10Z
Adult,12,065,CAO02Z
Adult,45,065,CAO03Z
Adult,12,066,CAO02Z
Adult,45,066,CAO03Z
Adult,12,067,CAO02Z
Adult,45,067,CAO03Z
Adult,12,068,CAO02Z
Adult,45,068,CAO03Z
Adult,12,069,CAO02Z
