age_category,team_type_code,team_type_name,currency_code,is_reason_split
Adult,01,Appliances Service,CAQ01Z,false
Adult,02,Arts Therapy Service,CAO99Z,false
Adult,03,Cancer Service,CAL99Z,false
Adult,04,Cardiac Service,CAL07Z,false
Adult,05,Dentistry,CAS05Z,false
Adult,07,Continence Service,CAL01Z,false
Adult,09,Counselling Service,CAO99Z,false
Adult,10,Dermatology Service,CAS99Z,false
Adult,11,Diabetes Service,CAL03Z,false
Adult,12,District Nursing Service,CAO02Z,true
Adult,13,"Ear, Nose and Throat Service",CAS99Z,false
Adult,14,End of Life Care Service,CAE06Z,false
Adult,15,Gastrointestinal Service,CAS99Z,false
Adult,16,Health Visiting Service,CAP01Z,false
Adult,17,Hearing Service,CAS03Z,false
Adult,19,LTC Case Management,CAL99Z,false
Adult,20,Musculoskeletal Service,CAS01Z,false
Adult,21,Neurology Service,CAL08Z,false
Adult,22,Nutrition and dietetics,CAT02Z,false
Adult,23,Occupational Therapy Service,CAT01Z,false
Adult,24,Orthoptist Service,CAS99Z,false
Adult,25,Pain Management Service,CAO99Z,false
Adult,26,Physiotherapy Service,CAT04Z,false
Adult,27,Podiatry Service,CAS02Z,false
Adult,28,Public Health and Lifestyle Service,CAP02Z,false
Adult,29,Rehabilitation Service,CAS06Z,false
Adult,30,Respiratory Service,CAL02Z,false
Adult,31,Rheumatology Service,CAL99Z,false
Adult,32,School Nursing Service,CAP04Z,false
Adult,33,Speech and Language Therapy Service,CAT03Z,false
Adult,34,Vulnerable Children's Service,CAO99Z,false
Adult,35,Vulnerable Adult's Service,CAO99Z,false
Adult,36,Respite Care Service,CAO99Z,false
Adult,37,Clinical Psychology Service,CAO99Z,false
Adult,39,Diagnostic Service,CAO99Z,false
Adult,40,Treatment Room Nursing Service,CAP03Z,false
Adult,41,Haematology Service,CAO99Z,false
Adult,42,Phlebotomy Service,CAS04Z,false
Adult,43,Tissue Viability Service,CAL04Z,false
Adult,44,Family Support Service,CAO99Z,false
Adult,45,Integrated Multidisciplinary Team (jointly commissioned),CAO03Z,true
Adult,46,Prosthetic Service,CAQ02Z,false
Adult,47,Specialist Palliative Care Service,CAE07Z,false
Adult,48,Enablement Service,CAO99Z,false
Adult,49,Urgent Care Service,CAO01Z,false
Adult,50,Wheelchair Service,CAQ03Z,false
Adult,51,Crisis Response Intermediate Care Service,CAI01Z,false
Adult,52,Reablement Intermediate Care Service,CAI02Z,false
Adult,53,Home-based Intermediate Care Service,CAI03Z,false
Adult,54,Community Bed-based Intermediate Care Service,CAI04Z,false
Adult,56,Adults Weight Management Service,CAP05Z,false
Adult,57,Public Health and Lifestyle Service (Excl WM),CAP02Z,false
Adult,58,Nutrition and Dietetics Service (Excl WM),CAT02Z,false
CYP,01,Appliances Service,CCQ01Z,false
CYP,02,Arts Therapy Service,CCO99Z,false
CYP,03,Cancer Service,CCL99Z,false
CYP,04,Cardiac Service,CCL05Z,false
CYP,05,Dentistry,CCS05Z,false
CYP,06,Community Paediatrics Service,CCO03Z,true
CYP,07,Continence Service,CCL01Z,false
CYP,09,Counselling Service,CCO99Z,false
CYP,10,Dermatology Service,CCS07Z,false
CYP,11,Diabetes Service,CCL03Z,false
CYP,12,District Nursing Service,CCO02Z,true
CYP,13,"Ear, Nose and Throat Service",CCS99Z,false
CYP,14,End of Life Care Service,CCE06Z,false
CYP,15,Gastrointestinal Service,CCS99Z,false
CYP,16,Health Visiting Service,CCP01Z,false
CYP,17,Hearing Service,CCS03Z,false
CYP,19,LTC Case Management,CCL99Z,false
CYP,20,Musculoskeletal Service,CCS01Z,false
CYP,21,Neurology Service,CCL06Z,false
CYP,22,Nutrition and dietetics,CCL08Z,false
CYP,23,Occupational Therapy Service,CCL07Z,false
CYP,24,Orthoptist Service,CCS99Z,false
CYP,25,Pain Management Service,CCO99Z,false
CYP,26,Physiotherapy Service,CCL10Z,false
CYP,27,Podiatry Service,CCS02Z,false
CYP,28,Public Health and Lifestyle Service,CCP02Z,false
CYP,29,Rehabilitation Service,CCS06Z,false
CYP,30,Respiratory Service,CCL02Z,false
CYP,31,Rheumatology Service,CCL99Z,false
CYP,32,School Nursing Service,CCP04Z,false
CYP,33,Speech and Language Therapy Service,CCL09Z,false
CYP,34,Vulnerable Children's Service,CCO99Z,false
CYP,35,Vulnerable Adult's Service,CCO99Z,false
CYP,36,Respite Care Service,CCO99Z,false
CYP,37,Clinical Psychology Service,CCO99Z,false
CYP,38,Children's Community Nursing Service,CCO04Z,true
CYP,39,Diagnostic Service,CCO99Z,false
CYP,40,Treatment Room Nursing Service,CCP03Z,false
CYP,41,Haematology Service,CCO99Z,false
CYP,42,Phlebotomy Service,CCS04Z,false
CYP,43,Tissue Viability Service,CCL04Z,false
CYP,44,Family Support Service,CCO99Z,false
CYP,45,Integrated Multidisciplinary Team (jointly commissioned),CCO05Z,true
CYP,46,Prosthetic Service,CCQ02Z,false
CYP,47,Specialist Palliative Care Service,CCE07Z,false
CYP,48,Enablement Service,CCO99Z,false
CYP,49,Urgent Care Service,CCO01Z,false
CYP,50,Wheelchair Service,CCQ03Z,false
CYP,51,Crisis Response Intermediate Care Service,CCI01Z,false
CYP,52,Reablement Intermediate Care Service,CCI02Z,false
CYP,53,Home-based Intermediate Care Service,CCI03Z,false
CYP,54,Community Bed-based Intermediate Care Service,CCI04Z,false
CYP,55,Childrens Weight Management Service,CCP05Z,false
CYP,57,Public Health and Lifestyle Service (Excl WM),CCP02Z,false
CYP,58,Nutrition and Dietetics Service (Excl WM),CCL08Z,false
