currency_code,section,population_group,currency_family,setting_code,currency_name,unit,price_gbp,additional_notes
MAA98Z,Mental Health Inpatient Spells,MAA,98,Z,Adult - Psychosis and Bipolar Disorders - Inpatient,Bed Day,616.55,
MAA98A,Mental Health Inpatient Spells,MAA,98,A,Adult - Psychosis and Bipolar Disorders - Inpatient - Acute & PICU,Bed Day,626.47,
MAA98B,Mental Health Inpatient Spells,MAA,98,B,Adult - Psychosis and Bipolar Disorders - Inpatient - Rehab,Bed Day,447.24,
MAA98C,Mental Health Inpatient Spells,MAA,98,C,Adult - Psychosis and Bipolar Disorders - Inpatient - Specialist,Bed Day,,Specialised service - out of scope
MAA98D,Mental Health Inpatient Spells,MAA,98,D,Adult - Psychosis and Bipolar Disorders - Inpatient - Forensic,Bed Day,,Specialised service - out of scope
MAB98Z,Mental Health Inpatient Spells,MAB,98,Z,Adult - Mood and Anxiety Disorders - Inpatient,Bed Day,581.25,
MAB98A,Mental Health Inpatient Spells,MAB,98,A,Adult - Mood and Anxiety Disorders - Inpatient - Acute & PICU,Bed Day,583.93,
MAB98B,Mental Health Inpatient Spells,MAB,98,B,Adult - Mood and Anxiety Disorders - Inpatient - Rehab,Bed Day,475.03,
MAB98C,Mental Health Inpatient Spells,MAB,98,C,Adult - Mood and Anxiety Disorders - Inpatient - Specialist,Bed Day,,Specialised service - out of scope
MAB98D,Mental Health Inpatient Spells,MAB,98,D,Adult - Mood and Anxiety Disorders - Inpatient - Forensic,Bed Day,,Specialised service - out of scope
MAE98Z,Mental Health Inpatient Spells,MAE,98,Z,Adult - Neurocognitive Disorders - Inpatient,Bed Day,708.25,
MAE98A,Mental Health Inpatient Spells,MAE,98,A,Adult - Neurocognitive Disorders - Inpatient - Acute & PICU,Bed Day,664.06,
MAE98B,Mental Health Inpatient Spells,MAE,98,B,Adult - Neurocognitive Disorders - Inpatient - Rehab,Bed Day,779.74,
MAE98C,Mental Health Inpatient Spells,MAE,98,C,Adult - Neurocognitive Disorders - Inpatient - Specialist,Bed Day,1513.23,
MAE98D,Mental Health Inpatient Spells,MAE,98,D,Adult - Neurocognitive Disorders - Inpatient - Forensic,Bed Day,,Specialised service - out of scope
MAF98Z,Mental Health Inpatient Spells,MAF,98,Z,Adult - Personality Disorders - Inpatient,Bed Day,646.57,
MAF98A,Mental Health Inpatient Spells,MAF,98,A,Adult - Personality Disorders - Inpatient - Acute & PICU,Bed Day,648.81,
MAF98B,Mental Health Inpatient Spells,MAF,98,B,Adult - Personality Disorders - Inpatient - Rehab,Bed Day,541.12,
MAF98C,Mental Health Inpatient Spells,MAF,98,C,Adult - Personality Disorders - Inpatient - Specialist,Bed Day,,Specialised service - out of scope
MAF98D,Mental Health Inpatient Spells,MAF,98,D,Adult - Personality Disorders - Inpatient - Forensic,Bed Day,,Specialised service - out of scope
MBC98Z,Mental Health Inpatient Spells,MBC,98,Z,All Age - Eating and Feeding Disorders - Inpatient,Bed Day,,All currencies in population group are specialised and out of scope
MBC98A,Mental Health Inpatient Spells,MBC,98,A,All Age - Eating and Feeding Disorders - Inpatient - Acute & PICU,Bed Day,,Specialised service - out of scope
MBC98B,Mental Health Inpatient Spells,MBC,98,B,All Age - Eating and Feeding Disorders - Inpatient - Rehab,Bed Day,,Specialised service - out of scope
MBC98C,Mental Health Inpatient Spells,MBC,98,C,All Age - Eating and Feeding Disorders - Inpatient - Specialist,Bed Day,,Specialised service - out of scope
MBC98D,Mental Health Inpatient Spells,MBC,98,D,All Age - Eating and Feeding Disorders - Inpatient - Forensic,Bed Day,,Specialised service - out of scope
MBY98Z,Mental Health Inpatient Spells,MBY,98,Z,All Age - Neurodevelopmental Disorders - Inpatient,Bed Day,889.42,
MBY98A,Mental Health Inpatient Spells,MBY,98,A,All Age - Neurodevelopmental Disorders - Inpatient - Acute & PICU,Bed Day,639.4,
MBY98B,Mental Health Inpatient Spells,MBY,98,B,All Age - Neurodevelopmental Disorders - Inpatient - Rehab,Bed Day,477.14,Unit cost based on setting average
MBY98C,Mental Health Inpatient Spells,MBY,98,C,All Age - Neurodevelopmental Disorders - Inpatient - Specialist,Bed Day,940.23,Unit cost for core commissioned only
MBY98D,Mental Health Inpatient Spells,MBY,98,D,All Age - Neurodevelopmental Disorders - Inpatient - Forensic,Bed Day,,Specialised service - out of scope
MCG98Z,Mental Health Inpatient Spells,MCG,98,Z,CYP - Other - Inpatient,Bed Day,1215.87,
MCG98A,Mental Health Inpatient Spells,MCG,98,A,CYP - Other - Inpatient - Acute & PICU,Bed Day,827.61,Unit cost for core commissioned only
MCG98B,Mental Health Inpatient Spells,MCG,98,B,CYP - Other - Inpatient - Rehab,Bed Day,477.14,Unit cost based on setting average
MCG98C,Mental Health Inpatient Spells,MCG,98,C,CYP - Other - Inpatient - Specialist,Bed Day,,Specialised service - out of scope
MCG98D,Mental Health Inpatient Spells,MCG,98,D,CYP - Other - Inpatient - Forensic,Bed Day,,Specialised service - out of scope
MBU98Z,Mental Health Inpatient Spells,MBU,98,Z,Other/Unclassified - Inpatient,Bed Day,580.82,
MBU98A,Mental Health Inpatient Spells,MBU,98,A,Other/Unclassified - Inpatient - Acute & PICU,Bed Day,624.17,Unit cost based on setting average
MBU98B,Mental Health Inpatient Spells,MBU,98,B,Other/Unclassified - Inpatient - Rehab,Bed Day,477.14,Unit cost based on setting average
MBU98C,Mental Health Inpatient Spells,MBU,98,C,Other/Unclassified - Inpatient - Specialist,Bed Day,1513.23,Unit cost based on setting average
MBU98D,Mental Health Inpatient Spells,MBU,98,D,Other/Unclassified - Inpatient - Forensic,Bed Day,,Specialised service - out of scope
MAA96Z,Mental Health Care Contacts,MAA,96,Z,Adult - Psychosis and Bipolar Disorders - Community,Contact,212.17,
MAA96A,Mental Health Care Contacts,MAA,96,A,Adult - Psychosis and Bipolar Disorders - Community - CMHT,Contact,182.61,
MAA96B,Mental Health Care Contacts,MAA,96,B,Adult - Psychosis and Bipolar Disorders - Community - Specialist,Contact,230.81,
MAA96C,Mental Health Care Contacts,MAA,96,C,Adult - Psychosis and Bipolar Disorders - Community - Forensic,Contact,400.11,
MAA96D,Mental Health Care Contacts,MAA,96,D,Adult - Psychosis and Bipolar Disorders - Community - Day Hospitals & Community Rehab,Contact,227.53,
MAA97Z,Mental Health Care Contacts,MAA,97,Z,Adult - Psychosis and Bipolar Disorders - Crisis,Contact,284.55,
MAA97A,Mental Health Care Contacts,MAA,97,A,Adult - Psychosis and Bipolar Disorders - Crisis - Core Services,Contact,299.17,
MAA97B,Mental Health Care Contacts,MAA,97,B,Adult - Psychosis and Bipolar Disorders - Crisis - Alternatives,Contact,201.8,
MAA97C,Mental Health Care Contacts,MAA,97,C,Adult - Psychosis and Bipolar Disorders - Crisis - MH Crisis Assessment Centres,Contact,284.55,Unit cost based on population/setting average
MAA97D,Mental Health Care Contacts,MAA,97,D,Adult - Psychosis and Bipolar Disorders - Crisis - A&E Linked Crisis Services,Contact,243.86,
MAB96Z,Mental Health Care Contacts,MAB,96,Z,Adult - Mood and Anxiety Disorders - Community,Contact,215.43,
MAB96A,Mental Health Care Contacts,MAB,96,A,Adult - Mood and Anxiety Disorders - Community - CMHT,Contact,206.3,
