mh_admitted_patient_class,mhsds_version,population_category,setting_code,setting_name
200,v6,cannot_classify,A,Acute & PICU
201,v6,cannot_classify,A,Acute & PICU
202,v6,cannot_classify,A,Acute & PICU
203,v6,C,C,Specialist
204,v6,B,C,Specialist
205,v6,cannot_classify,C,Specialist
206,v6,cannot_classify,D,Forensic
207,v6,cannot_classify,D,Forensic
208,v6,cannot_classify,D,Forensic
209,v6,E,C,Specialist
210,v6,F,C,Specialist
211,v6,cannot_classify,C,Specialist
212,v6,cannot_classify,B,Rehab
213,v6,Y,B,Rehab
300,v6,cannot_classify,A,Acute & PICU
301,v6,cannot_classify,A,Acute & PICU
302,v6,C,C,Specialist
303,v6,cannot_classify,D,Forensic
304,v6,cannot_classify,D,Forensic
305,v6,cannot_classify,C,Specialist
306,v6,Y,D,Forensic
307,v6,Y,D,Forensic
308,v6,B,C,Specialist
309,v6,cannot_classify,A,Acute & PICU
310,v6,Y,C,Specialist
311,v6,Y,C,Specialist
10,v5,cannot_classify,A,Acute & PICU
11,v5,cannot_classify,A,Acute & PICU
12,v5,cannot_classify,A,Acute & PICU
13,v5,C,C,Specialist
14,v5,cannot_classify,C,Specialist
15,v5,Y,C,Specialist
17,v5,cannot_classify,B,Rehab
19,v5,cannot_classify,D,Forensic
20,v5,cannot_classify,D,Forensic
21,v5,cannot_classify,D,Forensic
22,v5,E,C,Specialist
23,v5,cannot_classify,A,Acute & PICU
24,v5,cannot_classify,A,Acute & PICU
25,v5,C,C,Specialist
26,v5,C,C,Specialist
27,v5,cannot_classify,D,Forensic
28,v5,cannot_classify,D,Forensic
29,v5,cannot_classify,C,Specialist
30,v5,Y,C,Specialist
31,v5,Y,D,Forensic
32,v5,cannot_classify,D,Forensic
33,v5,B,C,Specialist
34,v5,cannot_classify,A,Acute & PICU
35,v5,cannot_classify,B,Rehab
36,v5,cannot_classify,B,Rehab
37,v5,cannot_classify,B,Rehab
38,v5,cannot_classify,B,Rehab
39,v5,cannot_classify,C,Specialist
40,v5,F,C,Specialist
