serv_team_type,population_category,is_crisis_referral,crisis_requires_urgent_priority,setting_group,setting_code,setting_name
A01,cannot_classify,false,false,community,D,Day Hospitals & Community Rehab
A02,Z,true,false,crisis,A,Core Services
A03,Z,true,false,,,
A04,Z,true,false,,,
A05,cannot_classify,false,false,community,A,Community & Neighbourhood
A06,cannot_classify,false,false,community,A,Community & Neighbourhood
A07,cannot_classify,false,false,community,A,Community & Neighbourhood
A08,cannot_classify,false,false,community,B,Specialist
A09,cannot_classify,false,false,community,D,Day Hospitals & Community Rehab
A10,cannot_classify,false,false,community,A,Community & Neighbourhood
A11,Z,true,false,crisis,D,A&E Linked Crisis Services
A12,cannot_classify,false,false,community,A,Community & Neighbourhood
A13,cannot_classify,false,false,community,A,Community & Neighbourhood
A14,A,false,false,community,B,Specialist
A15,E,false,false,community,B,Specialist
A16,F,false,false,community,B,Specialist
A17,E,false,false,community,B,Specialist
A18,Z,false,true,crisis,B,Alternatives
A19,Z,true,false,crisis,A,Core Services
A20,Z,true,false,crisis,D,A&E Linked Crisis Services
A21,Z,true,false,crisis,B,Alternatives
A22,Z,true,false,crisis,C,MH Crisis Assessment Centres
A23,Z,true,false,crisis,D,A&E Linked Crisis Services
A24,Z,true,false,crisis,B,Alternatives
A25,Z,true,false,crisis,B,Alternatives
B01,cannot_classify,false,false,community,C,Forensic
B02,Y,false,false,community,C,Forensic
C01,Y,false,false,community,B,Specialist
C02,cannot_classify,false,false,community,B,Specialist
C04,Y,false,false,community,B,Specialist
C05,cannot_classify,true,false,community,B,Specialist
C06,cannot_classify,false,false,community,B,Specialist
C07,cannot_classify,false,false,community,C,Forensic
C08,E,false,false,community,B,Specialist
C10,C,false,false,community,B,Specialist
D01,cannot_classify,false,false,community,B,Specialist
D02,cannot_classify,false,false,community,C,Forensic
D03,cannot_classify,false,false,community,C,Forensic
D04,cannot_classify,false,false,community,B,Specialist
D05,cannot_classify,false,false,community,B,Specialist
D06,cannot_classify,false,false,community,A,Community & Neighbourhood
D07,cannot_classify,false,false,community,B,Specialist
D08,cannot_classify,false,false,community,B,Specialist
E01,Y,false,false,community,A,Community & Neighbourhood
E02,Y,false,false,community,B,Specialist
E03,Y,false,false,community,B,Specialist
E04,cannot_classify,false,false,community,B,Specialist
F01,S,false,false,community,A,Community & Neighbourhood
F02,cannot_classify,false,false,community,B,Specialist
F03,cannot_classify,false,false,community,B,Specialist
F04,cannot_classify,false,false,community,B,Specialist
F05,cannot_classify,false,false,community,B,Specialist
F06,cannot_classify,false,false,community,A,Community & Neighbourhood
F07,cannot_classify,false,false,community,B,Specialist
Z01,cannot_classify,false,false,,,
Z02,cannot_classify,false,false,,,
