provider_code,provider_name,mff_factor
RCF,Airedale NHS Foundation Trust,1.012977
RBS,Alder Hey Children's NHS Foundation Trust,1.022199
RTK,Ashford And St Peter's Hospitals NHS Foundation Trust,1.103684
RVN,Avon And Wiltshire Mental Health Partnership NHS Trust,1.044914
RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",1.138332
RFF,Barnsley Hospital NHS Foundation Trust,1.021007
R1H,Barts Health NHS Trust,1.148886
RC9,Bedfordshire Hospitals NHS Foundation Trust,1.060677
RWX,Berkshire Healthcare NHS Foundation Trust,1.098944
RXT,Birmingham And Solihull Mental Health NHS Foundation Trust,1.041911
RYW,Birmingham Community Healthcare NHS Foundation Trust,1.042162
RQ3,Birmingham Women's And Children's NHS Foundation Trust,1.041821
TAJ,Black Country Healthcare NHS Foundation Trust,1.021453
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,1.013334
RMC,Bolton NHS Foundation Trust,1.034363
TAD,Bradford District Care NHS Foundation Trust,1.013908
RAE,Bradford Teaching Hospitals NHS Foundation Trust,1.014606
RY2,Bridgewater Community Healthcare NHS Foundation Trust,1.036433
RXQ,Buckinghamshire Healthcare NHS Trust,1.090365
RWY,Calderdale And Huddersfield NHS Foundation Trust,1.018074
RGT,Cambridge University Hospitals NHS Foundation Trust,1.077599
RT1,Cambridgeshire And Peterborough NHS Foundation Trust,1.05679
RYV,Cambridgeshire Community Services NHS Trust,1.031109
RV3,Central And North West London NHS Foundation Trust,1.137821
RYX,Central London Community Healthcare NHS Trust,1.137143
RQM,Chelsea And Westminster Hospital NHS Foundation Trust,1.151236
RXA,Cheshire And Wirral Partnership NHS Foundation Trust,1.027799
RFS,Chesterfield Royal Hospital NHS Foundation Trust,1.020095
RJ8,Cornwall Partnership NHS Foundation Trust,1.02095
RJR,Countess Of Chester Hospital NHS Foundation Trust,1.025424
RXP,County Durham And Darlington NHS Foundation Trust,1.017577
RYG,Coventry And Warwickshire Partnership NHS Trust,1.049526
RJ6,Croydon Health Services NHS Trust,1.143289
RX4,"Cumbria, Northumberland, Tyne And Wear NHS Foundation Trust",1.021441
RN7,Dartford And Gravesham NHS Trust,1.135898
RY8,Derbyshire Community Health Services NHS Foundation Trust,1.026575
RXM,Derbyshire Healthcare NHS Foundation Trust,1.032991
RWV,Devon Partnership NHS Trust,1.015414
RP5,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,1.015298
RBD,Dorset County Hospital NHS Foundation Trust,1.010284
RDY,Dorset Healthcare University NHS Foundation Trust,1.029962
RWH,East And North Hertfordshire NHS Trust,1.083147
RJN,East Cheshire NHS Trust,1.035329
RVV,East Kent Hospitals University NHS Foundation Trust,1.028193
RXR,East Lancashire Hospitals NHS Trust,1.020624
RWK,East London NHS Foundation Trust,1.137899
RX9,East Midlands Ambulance Service NHS Trust,1.029399
RYC,East Of England Ambulance Service NHS Trust,1.057255
RDE,East Suffolk And North Essex NHS Foundation Trust,1.021623
RXC,East Sussex Healthcare NHS Trust,1.025985
RVR,Epsom And St Helier University Hospitals NHS Trust,1.133917
R1L,Essex Partnership University NHS Foundation Trust,1.066516
RDU,Frimley Health NHS Foundation Trust,1.096021
RR7,Gateshead Health NHS Foundation Trust,1.02032
RLT,George Eliot Hospital NHS Trust,1.044866
RTQ,Gloucestershire Health And Care NHS Foundation Trust,1.035182
RTE,Gloucestershire Hospitals NHS Foundation Trust,1.032428
RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,1.179944
RN3,Great Western Hospitals NHS Foundation Trust,1.051721
RXV,Greater Manchester Mental Health NHS Foundation Trust,1.035724
RJ1,Guy's And St Thomas' NHS Foundation Trust,1.151077
RW1,Hampshire and Isle of Wight Healthcare NHS Foundation Trust,1.049908
RN5,Hampshire Hospitals NHS Foundation Trust,1.065174
RCD,Harrogate And District NHS Foundation Trust,1.034962
R1A,Herefordshire and Worcestershire Health and Care NHS Trust,1.026236
RY4,Hertfordshire Community NHS Trust,1.090175
RWR,Hertfordshire Partnership University NHS Foundation Trust,1.088861
RQX,Homerton Healthcare NHS Foundation Trust,1.149216
RWA,Hull University Teaching Hospitals NHS Trust,1.016281
RV9,Humber Teaching NHS Foundation Trust,1.012688
RYJ,Imperial College Healthcare NHS Trust,1.155276
R1F,Isle Of Wight NHS Trust,1.013209
RGP,James Paget University Hospitals NHS Foundation Trust,1.024563
RXY,Kent And Medway Mental Health Trust,1.073956
RYY,Kent Community Health NHS Foundation Trust,1.06177
RNQ,Kettering General Hospital NHS Foundation Trust,1.036275
RJZ,King's College Hospital NHS Foundation Trust,1.146963
RAX,Kingston and Richmond NHS Foundation Trust,1.131463
RW5,Lancashire and South Cumbria NHS Foundation Trust,1.017801
