pod_group,service_grouping,is_patient_attributable,review_note
Accident and Emergency,Crisis,true,
Ambulatory Care,Crisis,true,
Same Day Emergency Care,Crisis,true,
Non-elective,Crisis,true,
Critical Care,Crisis,true,
Elective,Planned,true,
Outpatients,Planned,true,
Diagnostic Imaging,Planned,true,
Chemo,Planned,true,
Drugs and Devices,Planned,true,
Advice and Guidance,Planned,true,
Regular Attenders,Planned,true,
Maternity,Planned,true,Ru to confirm (Crisis vs Planned) - carried over from POD seed
Therapies,Community,true,Ru to confirm - not present in the old POD seed
Community,Community,true,
Patient Transport Service,Excluded,false,
CQUIN,Excluded,false,
Other,Excluded,false,mostly block/adjustment (84% of window cost has no patient key); patient-keyed residue worth re-curating in the POD Group Manager app
Unmapped,Unmapped,true,LSPLCM combinations not yet curated in the app (~4% of window cost) - real patient activity so kept attributable
