ods_code,ods_name,cancer_alliance_name,cancer_alliance_code,notes
R0B,South Tyneside and Sunderland NHS Foundation Trust,Northern Cancer Alliance,N69,
RNN,North Cumbria Integrated Care NHS Foundation Trust,Northern Cancer Alliance,N69,
RR7,Gateshead Healthcare NHS Foundation Trust,Northern Cancer Alliance,N69,
RTD,The Newcastle upon Tyne Hospitals NHS Foundation Trust,Northern Cancer Alliance,N69,
RTF,Northumbria Healthcare NHS Foundation Trust,Northern Cancer Alliance,N69,
RTR,South Tees Hospitals NHS Foundation Trust,Northern Cancer Alliance,N69,
RVW,North Tees & Hartlepool NHS Foundation Trust,Northern Cancer Alliance,N69,
RXP,County Durham & Darlington NHS FoundationTrust,Northern Cancer Alliance,N69,
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,Lancashire and South Cumbria Cancer Alliance,N76,
RXR,East Lancashire Hospitals NHS Trust,Lancashire and South Cumbria Cancer Alliance,N76,
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,Lancashire and South Cumbria Cancer Alliance,N76,
RTX,The University Hospitals Of Morecambe Bay NHS Foundation Trust,Lancashire and South Cumbria Cancer Alliance,N76,
RCF,Airedale NHS Foundation Trust,West Yorkshire and Harrogate Cancer Alliance,N63,
RAE,Bradford Teaching Hospitals NHS Foundation Trust,West Yorkshire and Harrogate Cancer Alliance,N63,
RWY,Calderdale and Huddersfield NHS Foundation Trust,West Yorkshire and Harrogate Cancer Alliance,N63,
RCD,Harrogate and District NHS Foundation Trust,West Yorkshire and Harrogate Cancer Alliance,N63,Also partners with Humber & North Yorkshire Cancer Alliance
RR8,Leeds Teaching Hospitals NHS Trust,West Yorkshire and Harrogate Cancer Alliance,N63,
RXF,Mid Yorkshire Teaching NHS Trust,West Yorkshire and Harrogate Cancer Alliance,N63,
RCB,York and Scarborough Teaching Hospitals NHS Foundation Trust,Humber & North Yorkshire Cancer Alliance,N70,
RWA,Hull University Teaching Hospitals NHS Trust,Humber & North Yorkshire Cancer Alliance,N70,
RJL,Northern Lincolnshire and Goole NHS Foundation Trust,Humber & North Yorkshire Cancer Alliance,N70,
RX8,Yorkshire Ambulance Service NHS Trust,Humber & North Yorkshire Cancer Alliance,N70,
RX9,East Midlands Ambulance Service NHS Trust,Humber & North Yorkshire Cancer Alliance,N70,
RV9,Humber Teaching NHS Foundation Trust,Humber & North Yorkshire Cancer Alliance,N70,
