commissioner_code,code_format,organisation_name,is_active,notes
07P00,5-char,,true,
08E00,5-char,,true,
08G00,5-char,,true,
09A00,5-char,,true,
08Y00,5-char,,true,
07Y00,5-char,,true,
08C00,5-char,,true,
07W00,5-char,,true,
Q7100,5-char,,true,
13R00,5-char,,true,
07P,3-char,,true,
08E,3-char,,true,
08G,3-char,,true,
09A,3-char,,true,
08Y,3-char,,true,
07Y,3-char,,true,
08C,3-char,,true,
07W,3-char,,true,
Q71,3-char,,true,
13R,3-char,,true,
W2U3Z,5-char,,true,
5K5,3-char,,true,PCT-era predecessor; from ETL.postProcess_AE_Current header comment
5HX,3-char,,true,PCT-era predecessor; from ETL.postProcess_AE_Current header comment
5HY,3-char,,true,PCT-era predecessor; from ETL.postProcess_AE_Current header comment
5H1,3-char,,true,PCT-era predecessor; from ETL.postProcess_AE_Current header comment
5K6,3-char,,true,PCT-era predecessor; from ETL.postProcess_AE_Current header comment
5AT,3-char,,true,PCT-era predecessor; from ETL.postProcess_AE_Current header comment
5LC,3-char,,true,PCT-era predecessor; from ETL.postProcess_AE_Current header comment
5LA,3-char,,true,PCT-era predecessor; from ETL.postProcess_AE_Current header comment
5K500,5-char,,true,PCT-era predecessor; from ETL.postProcess_AE_Current header comment
5HX00,5-char,,true,PCT-era predecessor; from ETL.postProcess_AE_Current header comment
5HY00,5-char,,true,PCT-era predecessor; from ETL.postProcess_AE_Current header comment
5H100,5-char,,true,PCT-era predecessor; from ETL.postProcess_AE_Current header comment
5K600,5-char,,true,PCT-era predecessor; from ETL.postProcess_AE_Current header comment
5AT00,5-char,,true,PCT-era predecessor; from ETL.postProcess_AE_Current header comment
5LC00,5-char,,true,PCT-era predecessor; from ETL.postProcess_AE_Current header comment
5LA00,5-char,,true,PCT-era predecessor; from ETL.postProcess_AE_Current header comment
