role_code,role_description,sds_role_group,practitioner_role_group,is_arrs_role
R0110,Specialist Registrar,GP,GP,false
R0120,Senior Registrar (Closed),GP,GP,false
R0130,Registrar (Closed),GP,GP,false
R0190,Trust Grade Doctor - Specialist Registrar level,GP,GP,false
R0215,Asst. Clinical Medical Officer,GP,GP,false
R0220,Clinical Medical Officer,GP,GP,false
R0230,Senior Clinical Medical Officer,GP,GP,false
R0260,General Medical Practitioner,GP,GP,false
R0261,Assistant GP,GP,GP,false
R0262,Locum GP,GP,GP,false
R0263,Deputising Doctor,GP,GP,false
R0270,Salaried General Practitioner,GP,GP,false
R1547,Associate Practitioner - General Practitioner,GP,GP,false
R6200,GP Registrar,GP,GP,false
R6300,Sessional GP,GP,GP,false
R8000,Clinical Practitioner Access Role,GP,GP,false
R9001,OBSOLETE EBS GP (Referrer),GP,GP,false
E1002,Health Visitor,Nurses,Nurse,false
R0006,Student Community Practitioner,Nurses,Nurse,false
R0330,Student Nurse - Adult Branch,Nurses,Nurse,false
R0340,Student Nurse - Child Branch,Nurses,Nurse,false
R0350,Student Nurse - Mental Health Branch,Nurses,Nurse,false
R0360,Student Nurse - Learning Disabilities Branch,Nurses,Nurse,false
R0390,Student District Nurse,Nurses,Nurse,false
R0400,Student School Nurse,Nurses,Nurse,false
R0410,Student Practice Nurse,Nurses,Nurse,false
R0420,Student Occupational Health Nurse,Nurses,Nurse,false
R0430,Student Community Paediatric Nurse,Nurses,Nurse,false
R0440,Student Community Mental Health Nurse,Nurses,Nurse,false
R0450,Student Community Learning Disabilities Nurse,Nurses,Nurse,false
R0560,Director of Nursing,Nurses,Nurse,false
R0570,Nurse Consultant,Nurses,Nurse,false
R0580,Nurse Manager,Nurses,Nurse,false
R0590,Modern Matron,Nurses,Nurse,false
R0600,Specialist Nurse Practitioner,Nurses,Nurse,false
R0610,Sister/Charge Nurse,Nurses,Nurse,false
R0620,Staff Nurse,Nurses,Nurse,false
R0630,Enrolled Nurse,Nurses,Nurse,false
R0690,Community Practitioner,Nurses,Nurse,false
R0700,Community Nurse,Nurses,Nurse,false
R1490,Nursery Nurse,Nurses,Nurse,false
R1543,Associate Practitioner - Nurse,Nurses,Nurse,false
R1640,Nursing Cadet,Nurses,Nurse,false
R1974,Community Learning Disabilities Nurse,Nurses,Nurse,false
R1975,Community Mental Health Nurse,Nurses,Nurse,false
R1976,Community Team Manager,Nurses,Nurse,false
R8001,Nurse Access Role,Nurses,Nurse,false
R8002,Nurse Manager Access Role,Nurses,Nurse,false
R9809,Nursing Associates,Nurses,Nursing Associate,true
R9816,Trainee Nursing Associates,Nurses,Nursing Associate,true
E1001,Advanced Practitioner,Other Direct Patient Care,Other Clinical,false
E1003,Physician Assistant,Other Direct Patient Care,Physician Associate,false
E1006,Healthcare Science Practitioner,Other Direct Patient Care,Other Clinical,false
E1007,Healthcare Science Associate,Other Direct Patient Care,Other Clinical,false
E1008,Healthcare Science Assistant,Other Direct Patient Care,HCA,false
R0002,Porter,Other Direct Patient Care,Admin,false
R0003,Clinical Application Administrator,Other Direct Patient Care,Admin,false
R0010,Medical Director,Other Direct Patient Care,Other Doctor,false
R0011,Dispenser,Other Direct Patient Care,Other Clinical,false
R0012,Radiographer,Other Direct Patient Care,Other Clinical,false
R0013,Student Radiographer,Other Direct Patient Care,Other Clinical,false
R0014,Radiologist,Other Direct Patient Care,Other Doctor,false
R0015,PACS Administrator,Other Direct Patient Care,Admin,false
R0016,Reporting Radiographer,Other Direct Patient Care,Other Clinical,false
R0017,Assistant Practitioner,Other Direct Patient Care,HCA,false
R0018,Audiologist,Other Direct Patient Care,Other Clinical,false
R0019,Medical Technical Officer,Other Direct Patient Care,Other Clinical,false
R0020,Clinical Director - Medical,Other Direct Patient Care,Other Doctor,false
R0030,Professor,Other Direct Patient Care,Other Clinical,false
R0040,Senior Lecturer,Other Direct Patient Care,Other Clinical,false
R0050,Consultant,Other Direct Patient Care,Other Doctor,false
R0055,Dental surgeon acting as Hospital Consultant,Other Direct Patient Care,Other Clinical,false
R0060,Special salary scale in Public Health Medicine,Other Direct Patient Care,Other Doctor,false
R0070,Associate Specialist,Other Direct Patient Care,Other Doctor,false
R0080,Staff Grade,Other Direct Patient Care,Other Doctor,false
R0090,Hospital Practitioner,Other Direct Patient Care,Other Doctor,false
R0100,Clinical Assistant,Other Direct Patient Care,Other Doctor,false
R0140,Senior House Officer,Other Direct Patient Care,Other Doctor,false
R0150,House Officer - Pre Registration,Other Direct Patient Care,Other Doctor,false
R0160,House Officer - Post Registration,Other Direct Patient Care,Other Doctor,false
R0170,Trust Grade Doctor - House Officer level,Other Direct Patient Care,Other Doctor,false
R0180,Trust Grade Doctor - SHO level,Other Direct Patient Care,Other Doctor,false
R0200,Trust Grade Doctor - Career Grade level,Other Direct Patient Care,Other Doctor,false
R0210,Director of Public Health,Other Direct Patient Care,Other Doctor,false
R0240,Other Community Health Service,Other Direct Patient Care,Other Clinical,false
R0243,Other Community Health Service - Social Care Worker,Other Direct Patient Care,Other,false
R0247,Other Community Health Service - Admin Clerk,Other Direct Patient Care,Admin,false
R0250,General Dental Practitioner,Other Direct Patient Care,Other Clinical,false
R0280,Regional Dental Officer,Other Direct Patient Care,Other Clinical,false
R0290,Dental Clinical Director - Dental,Other Direct Patient Care,Other Clinical,false
R0295,Dental Assistant Clinical Director,Other Direct Patient Care,Other Clinical,false
R0300,Dental Officer,Other Direct Patient Care,Other Clinical,false
R0310,Senior Dental Officer,Other Direct Patient Care,Other Clinical,false
R0320,Salaried Dental Practitioner,Other Direct Patient Care,Other Clinical,false
R0370,Student Midwife,Other Direct Patient Care,Other Clinical,false
R0380,Student Health Visitor,Other Direct Patient Care,Other Clinical,false
R0460,Student Chiropodist,Other Direct Patient Care,Other Clinical,false
R0470,Student Dietitian,Other Direct Patient Care,Other Clinical,false
R0480,Student Occupational Therapist,Other Direct Patient Care,Other Clinical,false
R0490,Student Orthoptist,Other Direct Patient Care,Other Clinical,false
R0500,Student Physiotherapist,Other Direct Patient Care,Physiotherapist,false
R0510,Student Radiographer - Diagnostic,Other Direct Patient Care,Other Clinical,false
R0520,Student Radiographer - Therapeutic,Other Direct Patient Care,Other Clinical,false
R0530,Student Speech & Language Therapist,Other Direct Patient Care,Other Clinical,false
R0540,"Art, Music & Drama Student",Other Direct Patient Care,Other Clinical,false
R0550,Student Psychotherapist,Other Direct Patient Care,Counsellor,false
R0640,Midwife - Consultant,Other Direct Patient Care,Other Clinical,false
R0650,Midwife - Specialist Practitioner,Other Direct Patient Care,Other Clinical,false
R0660,Midwife - Manager,Other Direct Patient Care,Other Clinical,false
R0670,Midwife - Sister/Charge Nurse,Other Direct Patient Care,Other Clinical,false
R0680,Midwife,Other Direct Patient Care,Other Clinical,false
R0710,Art Therapist,Other Direct Patient Care,Other Clinical,false
R0720,Art Therapist Consultant,Other Direct Patient Care,Other Clinical,false
R0730,Art Therapist Manager,Other Direct Patient Care,Other Clinical,false
R0740,Art Therapist Specialist Practitioner,Other Direct Patient Care,Other Clinical,false
R0750,Chiropodist/Podiatrist,Other Direct Patient Care,Other Clinical,false
R0760,Chiropodist/Podiatrist Consultant,Other Direct Patient Care,Other Clinical,false
R0770,Chiropodist/Podiatrist Manager,Other Direct Patient Care,Other Clinical,false
R0780,Chiropodist/Podiatrist Specialist Practitioner,Other Direct Patient Care,Other Clinical,false
R0790,Dietitian,Other Direct Patient Care,Other Clinical,false
R0800,Dietitian Consultant,Other Direct Patient Care,Other Clinical,false
R0810,Dietitian Manager,Other Direct Patient Care,Other Clinical,false
