pod_code,activity_type,service,service_grouping,is_patient_attributable,review_note
AE,A&E,A&E,Crisis,true,
AANDE,A&E,A&E,Crisis,true,free-text variant of AE
AANDETYPE3,A&E,A&E,Crisis,true,free-text variant of AE
AE TYPE1,A&E,A&E,Crisis,true,free-text variant of AE
AE TYPE3,A&E,A&E,Crisis,true,free-text variant of AE
NEL,Non-Elective,Emergency Admissions,Crisis,true,
NELST,Non-Elective,Emergency Admissions,Crisis,true,non-elective short stay
NELXBD,Non-Elective Excess Bed Days,Emergency Admissions,Crisis,true,
NELOBD,Non-Elective Bed Days,Emergency Admissions,Crisis,true,
IPSPECIAL,Non-Elective,Emergency Admissions,Crisis,true,
NCBPS01T,Non-Elective,Emergency Admissions,Crisis,true,
AMBSTR,Ambulatory Emergency Care,Emergency Admissions,Crisis,true,
AMBUE,Ambulatory Emergency Care,Emergency Admissions,Crisis,true,
AMBOTHER,Ambulatory Emergency Care,Emergency Admissions,Crisis,true,desc unreliable - review
UNBACC,Critical Care,Critical Care,Crisis,true,critical care follows admission - default Crisis; Ru to confirm
UNBNCC,Critical Care,Critical Care,Crisis,true,critical care - default Crisis; Ru to confirm
UNBPCC,Critical Care,Critical Care,Crisis,true,critical care - default Crisis; Ru to confirm
NCBPSNIC,Critical Care,Critical Care,Crisis,true,neonatal critical care
CCTRANS,Critical Care,Critical Care,Crisis,true,critical care transfer
NIC,Critical Care,Critical Care,Crisis,true,
PIC,Critical Care,Critical Care,Crisis,true,
ACC,Critical Care,Critical Care,Crisis,true,
NELNE,Maternity,Maternity,Planned,true,maternity deliveries - Ru to confirm grouping (Crisis vs Planned)
NELNEXBD,Maternity,Maternity,Planned,true,maternity excess bed days - Ru to confirm grouping
NELNEXB,Maternity,Maternity,Planned,true,maternity excess bed days - Ru to confirm grouping
NELNEOBD,Maternity,Maternity,Planned,true,maternity bed days - Ru to confirm grouping
NCBPS04G,Maternity,Maternity,Planned,true,maternity deliveries - Ru to confirm grouping
MATPATHAN,Maternity,Maternity,Planned,true,antenatal pathway - Ru to confirm grouping
MATPATHPN,Maternity,Maternity,Planned,true,postnatal pathway - Ru to confirm grouping
MATPATH,Maternity,Maternity,Planned,true,maternity pathway - Ru to confirm grouping
EL,Elective,Acute Elective,Planned,true,
DC,Day Case,Acute Elective,Planned,true,
ELXBD,Elective Excess Bed Days,Acute Elective,Planned,true,
ELOBD,Elective Bed Days,Acute Elective,Planned,true,
RADAY,Regular Attender,Acute Elective,Planned,true,
RANIGHT,Regular Attender,Acute Elective,Planned,true,
DCRE,Regular Attender,Acute Elective,Planned,true,
IPOBD,Elective Bed Days,Acute Elective,Planned,true,
IPUNB,Unbundled,Acute Elective,Planned,true,
WAFA,Ward Attender,Acute Elective,Planned,true,
WAFUP,Ward Attender,Acute Elective,Planned,true,
WA,Ward Attender,Acute Elective,Planned,true,
REHAB,Rehabilitation,Acute Elective,Planned,true,
UNBREHAB,Rehabilitation,Acute Elective,Planned,true,
UNBREHA,Rehabilitation,Acute Elective,Planned,true,
NCBPS38S,Day Case,Acute Elective,Planned,true,
NCBPS38T,Day Case,Acute Elective,Planned,true,
NCBPS34A,Day Case,Acute Elective,Planned,true,
NCBPS37Z,Day Case,Acute Elective,Planned,true,
NCBPSXXX,Day Case,Acute Elective,Planned,true,
NCBPS23F,Day Case,Acute Elective,Planned,true,
OPFASPCL,Outpatient First,Outpatients,Planned,true,
OPFAMPCL,Outpatient First,Outpatients,Planned,true,
OPFASPNCL,Outpatient First,Outpatients,Planned,true,
OPFAMPNCL,Outpatient First,Outpatients,Planned,true,
OPFASPC,Outpatient First,Outpatients,Planned,true,
OPFAMPC,Outpatient First,Outpatients,Planned,true,
OPFA,Outpatient First,Outpatients,Planned,true,
OPFAHOME,Outpatient First,Outpatients,Planned,true,
OPFAPREOP,Outpatient First,Outpatients,Planned,true,
OPFUPSPCL,Outpatient Follow-up,Outpatients,Planned,true,
OPFUPMPCL,Outpatient Follow-up,Outpatients,Planned,true,
OPFUPSPNCL,Outpatient Follow-up,Outpatients,Planned,true,
OPFUPMPNCL,Outpatient Follow-up,Outpatients,Planned,true,
OPFUPSP,Outpatient Follow-up,Outpatients,Planned,true,
OPFUPMP,Outpatient Follow-up,Outpatients,Planned,true,
OPFUPSPNC,Outpatient Follow-up,Outpatients,Planned,true,
OPFUP,Outpatient Follow-up,Outpatients,Planned,true,
OPFUPHOME,Outpatient Follow-up,Outpatients,Planned,true,
OPFUPPREOP,Outpatient Follow-up,Outpatients,Planned,true,
