rule_id,rule_name,rule_description,rule_type,admission_type,los_threshold_min,los_threshold_max,hrg_category,effective_from,effective_to,active,contract_type
BR_APC_001,Elective_Short_Stay,Elective admission with length of stay less than 2 days,LENGTH_OF_STAY,ELECTIVE,0,1,ALL,2013-04-01,2024-03-31,1,ELECTIVE_SHORT_STAY
BR_APC_002,Elective_Standard,Standard elective admission (2 to 20 days),LENGTH_OF_STAY,ELECTIVE,2,20,ALL,2013-04-01,2024-03-31,1,ELECTIVE_STANDARD
BR_APC_003,Elective_Long_Stay,Elective admission with length of stay exceeding 20 days,LENGTH_OF_STAY,ELECTIVE,21,9999,ALL,2013-04-01,2024-03-31,1,ELECTIVE_LONG_STAY
BR_APC_004,Emergency_Same_Day,Non-elective admission with same-day discharge,LENGTH_OF_STAY,NON_ELECTIVE_EMERGENCY,0,0,ALL,2013-04-01,2024-03-31,1,EMERGENCY_SAME_DAY
BR_APC_005,Emergency_Short_Stay,Non-elective admission discharged within 1 day,LENGTH_OF_STAY,NON_ELECTIVE_EMERGENCY,1,1,ALL,2013-04-01,2024-03-31,1,EMERGENCY_SHORT_STAY
BR_APC_006,Emergency_Standard,Non-elective admission (2 to 10 days),LENGTH_OF_STAY,NON_ELECTIVE_EMERGENCY,2,10,ALL,2013-04-01,2024-03-31,1,EMERGENCY_STANDARD
BR_APC_007,Emergency_Long_Stay,Non-elective admission exceeding 10 days,LENGTH_OF_STAY,NON_ELECTIVE_EMERGENCY,11,9999,ALL,2013-04-01,2024-03-31,1,EMERGENCY_LONG_STAY
BR_APC_008,Mental_Health_Elective,Elective mental health admission,CLINICAL_CATEGORY,ELECTIVE,0,9999,MENTAL_HEALTH,2013-04-01,2024-03-31,1,MENTAL_HEALTH_ELECTIVE
BR_APC_009,Mental_Health_Emergency,Non-elective mental health admission,CLINICAL_CATEGORY,NON_ELECTIVE_EMERGENCY,0,9999,MENTAL_HEALTH,2013-04-01,2024-03-31,1,MENTAL_HEALTH_EMERGENCY
BR_APC_010,Trauma_Admission,Trauma and injury admission requiring urgent care,CLINICAL_CATEGORY,NON_ELECTIVE_EMERGENCY,0,9999,TRAUMA,2013-04-01,2024-03-31,1,TRAUMA_EMERGENCY
BR_APC_011,Maternity_Normal,Vaginal delivery without complications,CLINICAL_CATEGORY,ELECTIVE,0,3,MATERNITY,2013-04-01,2024-03-31,1,MATERNITY_NORMAL
BR_APC_012,Maternity_Complicated,Caesarean section or complicated delivery,CLINICAL_CATEGORY,ELECTIVE,0,5,MATERNITY,2013-04-01,2024-03-31,1,MATERNITY_COMPLICATED
BR_APC_013,Cancer_Treatment,Cancer-related admission for active treatment,CLINICAL_CATEGORY,ELECTIVE,0,9999,ONCOLOGY,2013-04-01,2024-03-31,1,CANCER_TREATMENT
BR_APC_014,Rehabilitation,Rehabilitation admission post-acute care,CLINICAL_CATEGORY,NON_ELECTIVE_EMERGENCY,0,9999,REHABILITATION,2013-04-01,2024-03-31,1,REHABILITATION
BR_APC_015,Care_Home_Admission,Admission from care home setting,ADMISSION_SOURCE,NON_ELECTIVE_EMERGENCY,0,9999,ALL,2013-04-01,2024-03-31,1,CARE_HOME_ADMISSION
BR_APC_016,Care_Home_Discharge,Discharge to care home setting,DISCHARGE_DESTINATION,NON_ELECTIVE_EMERGENCY,0,9999,ALL,2013-04-01,2024-03-31,1,CARE_HOME_DISCHARGE
BR_APC_017,Palliative_Care,Admission for palliative care and end of life support,CLINICAL_CATEGORY,NON_ELECTIVE_EMERGENCY,0,9999,PALLIATIVE,2013-04-01,2024-03-31,1,PALLIATIVE_CARE
BR_APC_018,High_Cost_Procedure,High-cost procedures requiring specialist centre,PROCEDURE_FLAG,ELECTIVE,0,9999,HIGH_COST,2013-04-01,2024-03-31,1,HIGH_COST
BR_APC_019,Specialist_Commissioning,Specialised commissioning activity (rare diseases, complex cases),SPECIALIST_FLAG,ELECTIVE,0,9999,SPECIALIST,2013-04-01,2024-03-31,1,SPECIALIST
BR_APC_020,Regional_Specialised,Nationally-designated regional specialised service,SPECIALIST_FLAG,ELECTIVE,0,9999,REGIONAL_SPECIALIST,2013-04-01,2024-03-31,1,REGIONAL_SPECIALIST
BR_APC_021,Diagnostic_Procedure,Diagnostic procedure admission,PROCEDURE_TYPE,ELECTIVE,0,1,DIAGNOSTIC,2013-04-01,2024-03-31,1,DIAGNOSTIC_PROCEDURE
BR_APC_022,Surgical_Procedure,Major surgical procedure admission,PROCEDURE_TYPE,ELECTIVE,1,9999,SURGICAL,2013-04-01,2024-03-31,1,SURGICAL_PROCEDURE
BR_APC_023,Medical_Management,Medical management admission without procedure,PROCEDURE_TYPE,ELECTIVE,1,9999,MEDICAL,2013-04-01,2024-03-31,1,MEDICAL_MANAGEMENT
BR_APC_024,Unplanned_Readmission,Readmission within 30 days of previous discharge,READMISSION_FLAG,NON_ELECTIVE_EMERGENCY,0,9999,ALL,2013-04-01,2024-03-31,1,UNPLANNED_READMISSION
BR_APC_025,High_Bed_Day,Admission exceeding 30 bed days (complex/long-term care),LENGTH_OF_STAY,NON_ELECTIVE_EMERGENCY,30,9999,ALL,2013-04-01,2024-03-31,1,HIGH_BED_DAY
