rule_name,attribute_name,code,match_type,include_or_exclude,effective_from,effective_to
AECU_CLINIC_LNWHT,provider_code,RV8,EXACT,INCLUDE,,
AECU_CLINIC_LNWHT,provider_code,R1K,EXACT,INCLUDE,,
AECU_CLINIC_LNWHT,provider_reference_no,AMBUL17D,EXACT,INCLUDE,,
AECU_WA_LNWHT,provider_code,RV8,EXACT,INCLUDE,,
AECU_WA_LNWHT,provider_code,R1K,EXACT,INCLUDE,,
AECU_WA_LNWHT,provider_reference_no,AMBCAREWA,EXACT,INCLUDE,,
CARD_BRENT,provider_code,RAL,EXACT,INCLUDE,2015-03-01,
CARD_BRENT,consultant_code,C4525871,EXACT,INCLUDE,2015-03-01,
CARD_BRENT,consultant_code,C4191142,EXACT,INCLUDE,2015-03-01,
CARD_BRENT,consultant_code,C4663760,EXACT,INCLUDE,2015-03-01,
CARD_BRENT,consultant_code,C5207347,EXACT,INCLUDE,2015-03-01,
CARD_BRENT,consultant_code,C4207100,EXACT,INCLUDE,2015-03-01,
CARD_BRENT,treatment_function_code,320,EXACT,INCLUDE,2015-03-01,
CARD_BRENT,commissioner_code,5K5,EXACT,INCLUDE,2015-03-01,
CARD_BRENT,commissioner_code,07P,EXACT,INCLUDE,2015-03-01,
CARD_ICHT_ANY,provider_reference_no,QPC,CONTAINS,INCLUDE,,
CARD_ICHT_ANY,provider_reference_no,WCC,CONTAINS,INCLUDE,,
CARD_ICHT,provider_reference_no,09A08Y_320CD,EXACT,INCLUDE,,
CARD_ICHT,provider_reference_no,09A08Y_320CFA,EXACT,INCLUDE,,
CARD_ICHT,provider_reference_no,09A08Y_320CFU,EXACT,INCLUDE,,
CARD_ICHT,provider_reference_no,09A08Y_320CHF,EXACT,INCLUDE,,
CARD_ICHT,provider_reference_no,09A08Y_320CHFU,EXACT,INCLUDE,,
CARD_ICHT,provider_code,RYJ,EXACT,INCLUDE,,
CARD_ICHT,provider_code,RQN,EXACT,INCLUDE,,
CARD_ICHT,provider_code,RJ5,EXACT,INCLUDE,,
DERM_CW,site_code,RQM23,EXACT,INCLUDE,,
DERM_CW,site_code,RQM20,EXACT,INCLUDE,,
DUP_ICHT,provider_reference_no,DUP,CONTAINS,INCLUDE,,
DUP_ICHT,provider_code,RYJ,EXACT,INCLUDE,,
DUP_ICHT,provider_code,RQN,EXACT,INCLUDE,,
DUP_ICHT,provider_code,RJ5,EXACT,INCLUDE,,
DUPLICATE_LNWHT,provider_code,RV8,EXACT,INCLUDE,2015-04-01,2015-04-30
ECG_CW,provider_code,RQM,EXACT,INCLUDE,,
ECG_CW,treatment_function_code,304,EXACT,INCLUDE,,
GUM,treatment_function_code,360,EXACT,INCLUDE,,
GYN_CW,site_code,RQM19,EXACT,INCLUDE,,
IN_HEALTH,provider_code,NV1,EXACT,INCLUDE,,
MH_LondonProviders,provider_code,RKL,EXACT,INCLUDE,,
MH_LondonProviders,provider_code,RV3,EXACT,INCLUDE,,
MH_LondonProviders,provider_code,RRP,EXACT,INCLUDE,,
MH_LondonProviders,provider_code,RNK,EXACT,INCLUDE,,
MH_LondonProviders,provider_code,RQY,EXACT,INCLUDE,,
MH_LondonProviders,provider_code,RWK,EXACT,INCLUDE,,
MH_LondonProviders,provider_code,TAF,EXACT,INCLUDE,,
MH_LondonProviders,provider_code,RPG,EXACT,INCLUDE,,
MH_LondonProviders,provider_code,RV5,EXACT,INCLUDE,,
MH_LondonProviders,provider_code,RAT,EXACT,INCLUDE,,
MH_LondonProviders,provider_code,RWR,EXACT,INCLUDE,,
NC_NWL,provider_code,RV8,EXACT,INCLUDE,,
NC_NWL,site_code,R1K01,EXACT,INCLUDE,,
NC_NWL6,provider_reference_no,CAUD15E,EXACT,EXCLUDE,,
NC_NWL6,provider_reference_no,CAUDREP15E,EXACT,EXCLUDE,,
NC_NWL6,provider_reference_no,NAUD15E,EXACT,EXCLUDE,,
NC_NWL6,provider_reference_no,NAUDREP15E,EXACT,EXCLUDE,,
NC_NWL7,provider_reference_no,NPBCS,PREFIX,INCLUDE,,
NC_NWL7,provider_reference_no,breath,CONTAINS,INCLUDE,,
OPTH_BRENT,provider_code,NT4,EXACT,INCLUDE,2014-10-01,
OPTH_BRENT,treatment_function_code,130,EXACT,INCLUDE,2014-10-01,
OPTH_BRENT,commissioner_code,5K5,EXACT,INCLUDE,2014-10-01,
OPTH_BRENT,commissioner_code,07P,EXACT,INCLUDE,2014-10-01,
SLEEPCLINIC_WMUH,provider_reference_no,SLEEP CLIN,EXACT,INCLUDE,2012-04-01,
SLEEPSTUDY_WMUH,provider_reference_no,SLEEPSTYSC,EXACT,INCLUDE,2012-04-01,
SOAEC_WMUH,provider_reference_no,SOAEC,EXACT,INCLUDE,2015-07-01,
WMUH_DIRECT,provider_code,RFW,EXACT,INCLUDE,,
WMUH_SITE,provider_code,RQM,EXACT,INCLUDE,,
WMUH_SITE,provider_site_code,RQM91,EXACT,INCLUDE,,
