code_system,code,sensitive_category,priority
ICD10,B200,HIV,1
ICD10,B201,HIV,1
ICD10,B202,HIV,1
ICD10,B203,HIV,1
ICD10,B204,HIV,1
ICD10,B205,HIV,1
ICD10,B206,HIV,1
ICD10,B207,HIV,1
ICD10,B208,HIV,1
ICD10,B209,HIV,1
ICD10,B210,HIV,1
ICD10,B211,HIV,1
ICD10,B212,HIV,1
ICD10,B213,HIV,1
ICD10,B217,HIV,1
ICD10,B218,HIV,1
ICD10,B219,HIV,1
ICD10,B220,HIV,1
ICD10,B221,HIV,1
ICD10,B222,HIV,1
ICD10,B227,HIV,1
ICD10,B230,HIV,1
ICD10,B231,HIV,1
ICD10,B232,HIV,1
ICD10,B238,HIV,1
ICD10,B24X,HIV,1
ICD10,Z113,HIV,1
ICD10,Z114,HIV,1
ICD10,Z202,HIV,1
ICD10,Z206,HIV,1
ICD10,Z21X,HIV,1
ICD10,Z224,HIV,1
ICD10,Z830,HIV,1
ICD10,A500,STI,2
ICD10,A501,STI,2
ICD10,A502,STI,2
ICD10,A503,STI,2
ICD10,A504,STI,2
ICD10,A505,STI,2
ICD10,A506,STI,2
ICD10,A507,STI,2
ICD10,A509,STI,2
ICD10,A510,STI,2
ICD10,A511,STI,2
ICD10,A512,STI,2
ICD10,A513,STI,2
ICD10,A514,STI,2
ICD10,A515,STI,2
ICD10,A519,STI,2
ICD10,A520,STI,2
ICD10,A521,STI,2
ICD10,A522,STI,2
ICD10,A523,STI,2
ICD10,A527,STI,2
ICD10,A528,STI,2
ICD10,A529,STI,2
ICD10,A530,STI,2
ICD10,A539,STI,2
ICD10,A540,STI,2
ICD10,A541,STI,2
ICD10,A542,STI,2
ICD10,A543,STI,2
ICD10,A544,STI,2
ICD10,A545,STI,2
ICD10,A546,STI,2
ICD10,A548,STI,2
ICD10,A549,STI,2
ICD10,A55X,STI,2
ICD10,A560,STI,2
ICD10,A561,STI,2
ICD10,A562,STI,2
ICD10,A563,STI,2
ICD10,A564,STI,2
ICD10,A568,STI,2
ICD10,A630,STI,2
ICD10,A638,STI,2
ICD10,A634X,STI,2
ICD10,Z311,IVF,3
ICD10,Z312,IVF,3
ICD10,Z313,IVF,3
ICD10,Z318,IVF,3
OPCS4,Q131,IVF,3
OPCS4,Q132,IVF,3
OPCS4,Q133,IVF,3
OPCS4,Q134,IVF,3
OPCS4,Q135,IVF,3
OPCS4,Q136,IVF,3
OPCS4,Q137,IVF,3
OPCS4,Q138,IVF,3
OPCS4,Q139,IVF,3
OPCS4,Q383,IVF,3
OPCS4,Y961,IVF,3
OPCS4,Y962,IVF,3
OPCS4,Y963,IVF,3
OPCS4,Y964,IVF,3
OPCS4,Y965,IVF,3
OPCS4,Y966,IVF,3
OPCS4,Y968,IVF,3
OPCS4,Y969,IVF,3
