fiscal_year_start,fiscal_year,gdp_deflator,cpi_index,cpih_index,is_forecast
2000,2000-01,54.3697,72.8500,73.6417,false
2001,2001-02,55.4597,73.8667,74.8667,false
2002,2002-03,56.6000,74.7833,75.9583,false
2003,2003-04,57.9885,75.7667,76.9750,false
2004,2004-05,59.7172,76.8583,78.1250,false
2005,2005-06,61.3576,78.4750,79.8250,false
2006,2006-07,63.2017,80.5000,81.9167,false
2007,2007-08,64.4380,82.2667,83.8250,false
2008,2008-09,66.8397,85.3500,86.8583,false
2009,2009-10,67.7042,87.2750,88.4333,false
2010,2010-11,68.8561,90.3333,90.9083,false
2011,2011-12,70.3261,94.2250,94.3083,false
2012,2012-13,71.5454,96.7000,96.5833,false
2013,2013-14,73.0337,98.9417,98.6000,false
2014,2014-15,74.0662,99.9833,99.7250,false
2015,2015-16,74.5804,100.0917,100.1667,false
2016,2016-17,76.0754,101.1917,101.5417,false
2017,2017-18,77.0388,104.0500,104.2167,false
2018,2018-19,78.7948,106.4000,106.4333,false
2019,2019-20,80.8738,108.2417,108.2417,false
2020,2020-21,85.1002,108.9250,109.1083,false
2021,2021-22,85.3036,113.2500,113.1167,false
2022,2022-23,91.2996,124.6083,123.0417,false
2023,2023-24,96.1117,131.6750,129.8667,false
2024,2024-25,100.0000,134.7833,134.0417,false
2025,2025-26,103.2388,,,true
2026,2026-27,105.3095,,,true
2027,2027-28,107.3546,,,true
2028,2028-29,109.3571,,,true
2029,2029-30,111.3959,,,true
2030,2030-31,113.6416,,,true
