commissioner_code,commissioner_name,icb_code,icb_name,sub_icb_code
Z9B2Z,NHS West and North London ICB,Z9B2Z,NHS West and North London ICB,
QMJ,NHS North Central London Integrated Care Board,QMJ,NHS North Central London Integrated Care Board,93C
QRV,NHS North West London Integrated Care Board,QRV,NHS North West London Integrated Care Board,W2U3Z
93C,NHS West and North London ICB - 93C,QMJ,NHS North Central London Integrated Care Board,93C
W2U3Z,NHS West and North London ICB - W2u3z,QRV,NHS North West London Integrated Care Board,W2U3Z
07M,NHS Barnet CCG,QMJ,NHS North Central London Integrated Care Board,93C
07R,NHS Camden CCG,QMJ,NHS North Central London Integrated Care Board,93C
07X,NHS Enfield CCG,QMJ,NHS North Central London Integrated Care Board,93C
08D,NHS Haringey CCG,QMJ,NHS North Central London Integrated Care Board,93C
08H,NHS Islington CCG,QMJ,NHS North Central London Integrated Care Board,93C
07P,NHS Brent CCG,QRV,NHS North West London Integrated Care Board,W2U3Z
07W,NHS Ealing CCG,QRV,NHS North West London Integrated Care Board,W2U3Z
07Y,NHS Hounslow CCG,QRV,NHS North West London Integrated Care Board,W2U3Z
08C,NHS Hammersmith and Fulham CCG,QRV,NHS North West London Integrated Care Board,W2U3Z
08E,NHS Harrow CCG,QRV,NHS North West London Integrated Care Board,W2U3Z
08G,NHS Hillingdon CCG,QRV,NHS North West London Integrated Care Board,W2U3Z
08Y,NHS West London CCG,QRV,NHS North West London Integrated Care Board,W2U3Z
09A,NHS Central London (Westminster) CCG,QRV,NHS North West London Integrated Care Board,W2U3Z
